"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"54","Trator Agrícola","CASE","FARMALL 120A","MANUAL DO OPERADOR PARA OS TRATORES CASE IH FARMALL 110 - 120A E 130A","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-7958-9837-23d24d037f0d/019e17a9-721d-7336-b55c-509602720688.pdf"
"55","Trator Agrícola","CASE","FARMALL 130A CAB","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf95-77a7-bd1a-814cdb7269ab/019e17a9-e486-73b2-b318-4cd8705ff7d1.pdf"
"56","Trator Agrícola","CASE","FARMALL 130A CAB","FOLHETO TECNICO DO TRATOR CASE MODELO 130A","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf95-77a7-bd1a-814cdb7269ab/019e17a9-e4d5-729e-b0a8-c21807a79caf.pdf"
"57","Trator Agrícola","CASE","FARMALL 130A CAB","MANUAL DO OPERADOR PARA OS TRATORES CASE IH FARMALL 110 - 120A E 130A","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf95-77a7-bd1a-814cdb7269ab/019e17a9-e534-7504-a157-5528fb8e9ac2.pdf"
"58","Trator Agrícola","CASE","FARMALL 130 ROPS","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-7155-851e-10fc984b312c/019e17aa-555b-7065-bc64-d77f59fbf7a0.pdf"
"59","Trator Agrícola","CASE","FARMALL 130 ROPS","FOLHETO TECNICO DO TRATOR CASE MODELO 130A","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-7155-851e-10fc984b312c/019e17aa-55a9-78fe-a145-e0e2d20cd31c.pdf"
"60","Trator Agrícola","CASE","FARMALL 130 ROPS","MANUAL DO OPERADOR PARA OS TRATORES CASE IH FARMALL 110 - 120A E 130A","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-7155-851e-10fc984b312c/019e17aa-55ce-73ac-be72-1f157cc066dd.pdf"
"61","Trator Agrícola","CASE","FARMALL 60","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178e-700f-7e2a-b896-c83ac046235d/019e1798-6ab8-75ff-b11a-65961091f92f.pdf"
"62","Trator Agrícola","CASE","FARMALL 60","MANUAL DE SERVIÇOS DOS TRATORES CASE IH FARMAL 60 - 70 – 80 - 95","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178e-700f-7e2a-b896-c83ac046235d/019e1798-6b08-7e36-ab92-6cb8de4832cc.pdf"
"63","Trator Agrícola","CASE","FARMALL 60","MANUAL DO OPERADOR PARA OS TRATORES FARMALL 60, 70, 80 E 95","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019e178e-700f-7e2a-b896-c83ac046235d/019e1798-790e-7ae3-aa37-2ed135a52512.pdf"
