"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"76","Colhedora de Cana","CASE","A8000","TREINAMENTO DE DIAGNÓSTICOS MECANICA - HIDRÁULOICA - E ELÉTRICA - COLHEDORAS DE CANA - CASE -A8000- A8810","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-8435-70c1-83e1-7cb9c0df0e48/019dc51e-fbbb-75ce-a901-3e751c31b774.pdf"
"77","Colhedora de Cana","CASE","A8010","MANUAL DO OPERADOR DA COLHEDORA DE CANA - CASE - Sugarcane-A8010 -A8810","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-7693-939d-077da3db4fcd/019dc54d-0e9e-718a-84d4-a00c0de5b2e6.pdf"
"78","Colhedora de Cana","CASE","A8800","CATALOGO DE PEÇAS COLHEDORA DE CANA - CASE A8000-A8800 f","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0c2-7161-9df1-2dde420b93a9/019dc552-3b5f-7d0b-a1bb-01bae5751c73.pdf"
"79","Colhedora de Cana","CASE","A8800","ENTREGA TÉCNICA DA COLHEDORA DE CANA - CASE - A8000 - A8800","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0c2-7161-9df1-2dde420b93a9/019dc536-66f6-7255-9108-b91b184d0a36.pdf"
"80","Colhedora de Cana","CASE","A8800","ESPECIFICAÇÕES TÉCNICAS DAS COLHEDORAS DE CANA - CASE - A8000 - A8800 - A8800MR - 2017","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0c2-7161-9df1-2dde420b93a9/019dc536-6773-7405-b805-2a85efdd75fc.pdf"
"81","Colhedora de Cana","CASE","A8800","FOLHETO TÉCNICO COLHEDORA-DE-CANA - CASE -A8800-Multi-Row","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0c2-7161-9df1-2dde420b93a9/019dc55b-1821-7ba8-9133-93a9a025d3c4.pdf"
"82","Colhedora de Cana","CASE","A8800","INFORMAÇÕES TÉCNICA SOBRE MEDIR-PRESSAO - COLHEDORADE CANA - CASE - A8000 - A8800","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0c2-7161-9df1-2dde420b93a9/019dc536-67be-775c-baf0-025ba2dc4adf.pdf"
"83","Colhedora de Cana","CASE","A8800","MANUAL DE CALIBRAÇÃO DA COLHEDORA DE CANA - CASE - A8000 - A8800","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0c2-7161-9df1-2dde420b93a9/019dc536-68ab-7353-be01-c699652de353.pdf"
"84","Colhedora de Cana","CASE","A8800","MANUAL DE REPARAÇÃO DA COLHEDORA DE CANA - CASE A8000 - A8800","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0c2-7161-9df1-2dde420b93a9/019dc536-68d6-75a8-901b-fdb2ef634f33.pdf"
"85","Colhedora de Cana","CASE","A8800","TREINAMENTO TÉCNICO DA COLHEDOTA DE CANA - CASE -A8800- A8810","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0c2-7161-9df1-2dde420b93a9/019dc536-693b-76fb-bbc8-5ccdcc65f708.pdf"
"86","Colhedora de Cana","CASE","A8800MR","ESPECIFICAÇÕES TÉCNICAS DAS COLHEDORAS DE CANA - CASE - A8000 - A8800 - A8800MR - 2017","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc51d-04f1-76d1-91a0-5a2e34e8e44c/019dc536-fdb2-7538-854a-068c9d4f93fe.pdf"
"87","Colhedora de Cana","CASE","A8810","CATALAGO DE PEÇAS ALTERNATIVO COLHEDORAS CASE -A8810","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-70b2-a0bc-88b75e307e0f/019dc537-9c80-7499-9262-8255b3720e8b.pdf"
"88","Colhedora de Cana","CASE","A8810","FOLHETO TÉCNICO DA COLHEDORA DE CANA - CASE-8810 -2018","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-70b2-a0bc-88b75e307e0f/019dc537-9ca9-7bfd-9d73-5bc936408857.pdf"
